odhf_facility_type,latitude,longitude,facility_category
Hospitals,49.0952999,-122.612079,Long-Term & Chronic Care
Nursing and residential care facilities,49.508589,-117.267255,Mental Health & Rehabilitation
Nursing and residential care facilities,49.0384349,-122.3117414,Long-Term & Chronic Care
Hospitals,49.1351173,-122.3326872,Long-Term & Chronic Care
Nursing and residential care facilities,48.459924,-123.330454,Long-Term & Chronic Care
Hospitals,53.636387,-113.374023,Mental Health & Rehabilitation
Hospitals,49.029968,-122.792231,Long-Term & Chronic Care
Hospitals,49.2508389,-122.806171,Mental Health & Rehabilitation
Nursing and residential care facilities,50.7033639,-120.3941722,Mental Health & Rehabilitation
Ambulatory health care services,49.601398,-119.668653,Long-Term & Chronic Care
Hospitals,49.0310858,-122.3003157,Mental Health & Rehabilitation
Nursing and residential care facilities,49.31138,-124.325,Long-Term & Chronic Care
Hospitals,50.2556464,-119.270432,Long-Term & Chronic Care
Nursing and residential care facilities,50.124098,-113.108947,Long-Term & Chronic Care
Nursing and residential care facilities,52.1297698,-122.1397368,Mental Health & Rehabilitation
Hospitals,50.905138,-97.226298,Acute Care & Hospitals
Hospitals,49.224217,-100.059664,Acute Care & Hospitals
Nursing and residential care facilities,49.8779998,-97.2355202,Long-Term & Chronic Care
Hospitals,49.444981,-96.988244,Acute Care & Hospitals
Ambulatory health care services,49.1777107,-97.9560743,Mental Health & Rehabilitation
Hospitals,51.178923,-100.70023,Acute Care & Hospitals
Hospitals,49.484746,-100.526726,Long-Term & Chronic Care
Hospitals,51.1791402,-115.5746754,Long-Term & Chronic Care
Hospitals,49.90613,-97.163433,Mental Health & Rehabilitation
Nursing and residential care facilities,49.868759,-97.119886,Long-Term & Chronic Care
Ambulatory health care services,50.1531413,-96.8880005,Mental Health & Rehabilitation
Hospitals,50.438675,-100.594663,Acute Care & Hospitals
Hospitals,54.881037,-100.027829,Acute Care & Hospitals
Hospitals,52.099188,-101.271765,Acute Care & Hospitals
Hospitals,50.131652,-97.335247,Acute Care & Hospitals
Hospitals,53.829393,-101.247878,Acute Care & Hospitals
Hospitals,49.595097,-99.69253,Acute Care & Hospitals
Hospitals,45.2543073,-66.1268967,Mental Health & Rehabilitation
Ambulatory health care services,46.0969071,-64.7868313,Specialized Care & Support Services
Hospitals,45.302733,-66.08515,Acute Care & Hospitals
Hospitals,48.824015,-56.857397,Acute Care & Hospitals
Hospitals,48.646578,-53.108451,Acute Care & Hospitals
Hospitals,49.8731985,-112.7773122,Long-Term & Chronic Care
Hospitals,49.470386,-58.126394,Acute Care & Hospitals
Hospitals,48.932557,-55.647952,Acute Care & Hospitals
Hospitals,48.076266,-52.999593,Acute Care & Hospitals
Hospitals,47.588959,-59.162949,Long-Term & Chronic Care
Hospitals,49.505774,-56.053543,Acute Care & Hospitals
Hospitals,53.296639,-60.341373,Acute Care & Hospitals
Hospitals,49.653287,-54.757129,Long-Term & Chronic Care
Hospitals,50.649633,-57.305352,Long-Term & Chronic Care
Nursing and residential care facilities,47.576217,-52.695163,Long-Term & Chronic Care
Hospitals,46.930187,-55.39905,Long-Term & Chronic Care
Hospitals,50.868696,-56.117025,Acute Care & Hospitals
Nursing and residential care facilities,46.09560382,-60.7655569,Long-Term & Chronic Care
Nursing and residential care facilities,44.73538941,-65.50017693,Long-Term & Chronic Care
Nursing and residential care facilities,44.6328756,-63.60822714,Long-Term & Chronic Care
Nursing and residential care facilities,44.19395069,-66.1529628,Specialized Care & Support Services
Nursing and residential care facilities,43.54844926,-65.59817351,Long-Term & Chronic Care
Nursing and residential care facilities,45.3462119,-64.79483503,Long-Term & Chronic Care
Nursing and residential care facilities,44.67789912,-63.49031476,Long-Term & Chronic Care
Nursing and residential care facilities,45.07640112,-64.40682884,Long-Term & Chronic Care
Hospitals,46.81057,-60.334327,Acute Care & Hospitals
Nursing and residential care facilities,45.33262821,-60.98400465,Long-Term & Chronic Care
Nursing and residential care facilities,46.1708223,-60.1673939,Specialized Care & Support Services
Nursing and residential care facilities,45.35048296,-63.27590922,Long-Term & Chronic Care
Nursing and residential care facilities,46.12197357,-60.19465838,Long-Term & Chronic Care
Nursing and residential care facilities,45.82402994,-64.18990713,Specialized Care & Support Services
Nursing and residential care facilities,45.33572452,-64.77821416,Specialized Care & Support Services
Nursing and residential care facilities,44.68353015,-63.53262551,Specialized Care & Support Services
Hospitals,44.757207,-63.658994,Community & Primary Care
Nursing and residential care facilities,45.43524004,-63.45367776,Long-Term & Chronic Care
Nursing and residential care facilities,46.21071558,-60.02235419,Specialized Care & Support Services
