city,type
grande prairie,Urban
st. albert,Urban
fort mcmurray,Urban
calgary,Urban
edmonton,Urban
lethbridge,Urban
red deer,Urban
medicine hat,Urban
brooks,Urban
okotoks,Urban
high level,Rural
peace river,Rural
slave lake,Rural
fort st. john,Urban
langley,Rural
nelson,Rural
abbotsford,Urban
mission,Urban
victoria,Urban
white rock,Urban
coquitlam,Urban
kamloops,Urban
summerland,Rural
parksville,Rural
vernon,Urban
carmangay,Rural
williams lake,Rural
arborg,Rural
boissevain,Rural
winnipeg,Urban
saint pierre-jolys,Rural
winkler,Rural
grandview,Rural
hartney,Rural
banff,Rural
saint john,Urban
,
buchans,Rural
bonavista,Rural
picture butte,Rural
norris point,Rural
grand falls-windsor,Rural
old perlican,Rural
port aux basques,Rural
springdale,Rural
happy valley-goose bay,Rural
twillingate,Rural
port saunders,Rural
st johns,Urban
st lawrence,Rural
roddickton,Rural
baddeck,Rural
annapolis royal,Rural
halifax,Urban
meteghan,Rural
barrington,Rural
advocate harbour,Rural
cole harbour,Urban
greenwich,Rural
neils harbour,Rural
debert,Rural
dominion,Rural
dutch brook,Rural
windsor,Urban
pugwash,Rural
wolfville,Rural
brookfield,Rural
kentville,Rural
lunenburg,Rural
cheticamp,Rural
amherst,Urban
new glasgow,Urban
berwick,Rural
truro,Urban
sydney,Urban
sydney mines,Rural
sheet harbour,Rural
middleton,Rural
bridgewater,Rural
greenfield,Rural
inverness,Rural
trenton,Rural
beaverbank,Rural
bible hill,Rural
mahone bay,Rural
new waterford,Rural
port hawkesbury,Rural
pictou,Rural
shelburne,Rural
chatham-kent,Urban
kingston,Urban
london,Urban
hagersville,Rural
sarnia,Urban
ottawa,Urban
pickering,Urban
hamilton,Urban
markham,Urban
brampton,Urban
mississauga,Urban
vaughan,Urban
ajax,Urban
whitby,Urban
oshawa,Urban
burlington,Urban
kitchener,Urban
guelph,Urban
waterloo,Urban
stratford,Urban
niagara falls,Urban
welland,Urban
fort erie,Urban
leamington,Urban
kingsville,Rural
cornwall,Rural
renfrew,Rural
barrie,Urban
orillia,Urban
brantford,Urban
niagara-on-the-lake,Urban
thorold,Urban
st catharines,Urban
simcoe,Rural
dunnville,Rural
port dover,Rural
haliburton,Rural
cobourg,Urban
georgina,Urban
aurora,Urban
richmond hill,Urban
toronto,Urban
snow lake,Rural
the pas,Rural
wawanesa,Rural
riverview,Rural
dieppe,Urban
moncton,Urban
québec,Urban
repentigny,Urban
baie-comeau,Urban
saint-michel-du-squatec,Rural
amqui,Rural
drummondville,Urban
dolbeau-mistassini,Urban
côte-saint-luc,Urban
saguenay,Urban
rouyn-noranda,Urban
gatineau,Urban
saint-charles-borromée,Rural
gaspé,Rural
shawinigan,Urban
sainte-agathe-des-monts,Rural
pointe-claire,Urban
la pêche,Rural
saint-jean-sur-richelieu,Urban
akwesasne,Rural
cowansville,Urban
laval,Urban
lanoraie,Rural
rawdon,Rural
ormstown,Rural
dollard-des-ormeaux,Urban
selkirk,Urban
shoal lake,Rural
ste rose du lac,Rural
stonewall,Rural
canso,Rural
dartmouth,Urban
sackville,Urban
sherbrooke,Urban
springhill,Urban
antigonish,Urban
barss corner,Rural
guysborough,Rural
upper nine mile river,Rural
bridgetown north,Rural
middle musquodoboit,Rural
north sydney,Urban
argyle,Rural
caledonia,Rural
bentley,Rural
bedford,Urban
eastern passage,Urban
overton,Rural
pleasantville,Rural
lower west pubnico,Rural
liverpool,Rural
st. peters,Rural
new germany,Rural
sandy point,Rural
bridgetown,Urban
seabright,Rural
glace bay,Urban
enfield,Rural
chester,Rural
arichat,Rural
lockeport,Rural
musquodoboit harbour,Rural
port hood,Rural
yarmouth,Urban
wilmot,Rural
conway,Rural
millbrook 27,Rural
stellarton,Urban
dayton,Rural
hammonds plains,Urban
tatamagouche,Rural
shubenacadie,Rural
thunder bay,Urban
casselman,Rural
peterborough,Urban
tamworth,Rural
saint thomas,Urban
madoc,Rural
kawartha lakes,Rural
petrolia,Urban
lincoln,Rural
newmarket,Urban
goderich,Urban
sault ste marie,Urban
blind river,Rural
mattawa,Rural
milton,Urban
new tecumseth,Urban
mississippi mills,Rural
amherstburg,Urban
oakville,Urban
londesborough,Rural
brighton,Rural
arnprior,Rural
atikokan,Rural
west nipissing,Rural
alfred,Rural
orangeville,Urban
aylmer,Rural
wardsville,Rural
collingwood,Urban
bancroft,Rural
elmira,Urban
penetanguishene,Rural
kemptville,Rural
waubaushene,Rural
belleville,Urban
parry sound,Urban
halton hills,Urban
norwich,Rural
kenora,Urban
mount forest,Rural
whitchurch-stouffville,Rural
stayner,Rural
north bay,Urban
zurich,Rural
dutton,Rural
bowmanville,Urban
bradford west gwillimbury,Rural
wingham,Rural
paris,Urban
amherstview,Rural
brockville,Urban
smiths falls,Urban
beaverton,Rural
walkerton,Rural
perth road,Rural
watford,Rural
brant,Rural
burks falls,Rural
campbellford,Rural
uxbridge,Urban
cambridge,Urban
temiskaming shores,Rural
owen sound,Urban
powassan,Rural
wawa,Rural
sudbury,Urban
capreol,Rural
pembroke,Urban
arthur,Rural
cobden,Rural
fergus,Urban
minto,Rural
listowel,Urban
woodstock,Urban
clarence-rockland,Urban
courtland,Rural
marmora,Rural
carleton place,Urban
perth,Urban
cherry valley,Rural
gananoque,Urban
bracebridge,Urban
millbrook,Rural
lefaivre,Rural
clarence creek,Rural
timmins,Urban
noelville,Rural
midland,Urban
chapleau,Rural
cannington,Rural
lorigal,Rural
morrisburg,Rural
lancaster,Rural
huntsville,Urban
parkhill,Rural
hampton,Rural
alexandria,Urban
lakeshore,Rural
hanover,Urban
acton,Rural
clinton,Rural
cochrane,Rural
lindsay,Urban
beachburg,Rural
chatsworth,Rural
lambton shores,Rural
brunner,Rural
portland,Rural
komoka,Rural
godfrey,Rural
pakenham,Rural
south woodslee,Rural
ailsa craig,Rural
creemore,Rural
lucan,Rural
quinte west,Urban
kapuskasing,Urban
tillsonburg,Urban
grimsby,Urban
delhi,Rural
saint jacobs,Rural
fort william first nation,Rural
dorchester,Rural
sunderland,Rural
winchester,Rural
ear falls,Rural
erin,Rural
edward,Rural
chesley,Rural
elliot lake,Urban
port hope,Urban
englehart,Rural
the blue mountains,Rural
espanola,Urban
exeter,Rural
kirkland lake,Urban
harcourt,Rural
port stanley,Rural
tecumseh,Urban
fort frances,Urban
hearst,Rural
limoges,Rural
french river,Rural
greater napanee,Urban
chesterville,Rural
townsend,Rural
tweed,Rural
wiarton,Rural
lions head,Rural
waterford,Rural
codrington,Rural
gravenhurst,Urban
geraldton,Rural
markdale,Rural
minden,Rural
southampton,Rural
saint marys,Urban
courtice,Rural
boyle,Rural
essex,Urban
dresden,Rural
vankleek hill,Rural
elora,Urban
maryhill,Rural
merrickville,Rural
hornepayne,Rural
shanty bay,Rural
brussels,Rural
iroquois falls,Rural
ohsweken,Rural
breton,Rural
kincardine,Urban
king city,Urban
caledon,Urban
saugeen shores,Urban
milverton,Rural
northbrook,Rural
innisfil,Urban
saint isidore,Rural
embrun,Urban
jarvis,Rural
bruce mines,Rural
lombardy,Rural
pelham,Urban
hawkesbury,Rural
cutler,Rural
opasatika,Rural
jogues,Rural
little current,Rural
mindemoya,Rural
gore bay,Rural
manitowaning,Rural
blondeau,Rural
athens,Rural
norwood,Rural
marathon,Rural
ignace,Rural
maxville,Rural
meaford,Rural
delaware,Rural
west drayton,Rural
mitchell,Rural
puslinch,Rural
lucknow,Rural
corbeil,Rural
new hamburg,Rural
m'chigeeng,Rural
thessalon,Rural
port perry,Rural
lanark,Rural
terrace bay,Rural
schreiber,Rural
richards landing,Rural
port colborne,Urban
red lake,Rural
southwold,Rural
manitouwadge,Rural
tavistock,Rural
petawawa,Urban
golden lake,Rural
plantagenet,Rural
little britain,Rural
east gwillimbury,Rural
vermilion bay,Rural
prescott,Urban
dryden,Urban
lakeside,Rural
rainy river,Rural
lakefield,Rural
moonbeam,Rural
muskrat dam,Rural
durham,Rural
jasper,Rural
matheson,Rural
palmerston,Rural
russell,Rural
ripley,Rural
elmvale,Rural
sauble beach,Rural
strathroy,Urban
seeleys bay,Rural
sharbot lake,Rural
maberly,Rural
smithville,Rural
whitney,Rural
sundridge,Rural
st. thomas,Urban
stirling,Rural
long sault,Rural
temagami,Rural
fordwich,Rural
napanee,Urban
wasaga beach,Urban
holland landing,Rural
cargill,Rural
green valley,Rural
barrys bay,Rural
st-albert,Rural
curran,Rural
warkworth,Rural
moose factory,Rural
moosonee,Rural
west elgin,Rural
pawitik,Rural
wikwemikong,Rural
sioux lookout,Rural
etobicoke,Urban
ponoka,Rural
hamilton (dundas),Urban
victoriaville,Urban
alert bay,Rural
port moody,Urban
port coquitlam,Urban
montréal,Urban
vanier,Urban
regina,Urban
assiniboia,Rural
north battleford,Urban
beauval,Rural
beechy,Rural
middle lake,Rural
big river,Rural
biggar,Rural
birch hills,Rural
blaine lake,Rural
borden,Rural
climax,Rural
carnduff,Rural
broadview,Rural
buffalo narrows,Rural
cabri,Rural
candle lake,Rural
carlyle,Rural
