source_facility_type,odhf_facility_type,latitude,longitude
other,Ambulatory health care services,,
pediatric,Hospitals,51.074582,-114.148426
general,Hospitals,53.351493,-113.730785
,Nursing and residential care facilities,49.177418,-122.864118
,Nursing and residential care facilities,49.6899979,-115.9896466
,Ambulatory health care services,50.67706,-120.3295
,Nursing and residential care facilities,49.2483529,-123.0870448
,Nursing and residential care facilities,50.2761527,-119.2445371
,Nursing and residential care facilities,49.0307485,-122.358792
,Nursing and residential care facilities,49.157599,-122.767254
,Nursing and residential care facilities,49.1777346,-122.8417995
,Nursing and residential care facilities,49.0214852,-123.073648
general,Hospitals,51.661795,-114.123674
general,Hospitals,54.0504835,-128.6472372
,Nursing and residential care facilities,49.2232118,-122.9150878
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.186109,-123.96893
,Nursing and residential care facilities,50.603467,-120.3104439
general,Hospitals,49.103275,-117.701449
other,Ambulatory health care services,,
,Nursing and residential care facilities,49.3279645,-117.6630835
general,Hospitals,49.4950249,-117.2848169
,Ambulatory health care services,49.49869,-117.2889
,Nursing and residential care facilities,49.5183259,-115.758538
,Nursing and residential care facilities,49.21522,-123.039
,Ambulatory health care services,49.13365,-122.867417
,Nursing and residential care facilities,49.017373,-122.428874
,Nursing and residential care facilities,49.099275,-123.0760699
general,Hospitals,48.8614452,-123.5085986
,Nursing and residential care facilities,53.273049,-110.019164
general,Hospitals,48.9957415,-123.8276344
,Ambulatory health care services,50.025931,-119.405559
,Nursing and residential care facilities,50.0291435,-119.3984578
general,Hospitals,54.2356268,-125.7612623
,Nursing and residential care facilities,48.798968,-123.69182
,Ambulatory health care services,49.881024,-119.431768
,Nursing and residential care facilities,49.250461,-123.0604877
,Nursing and residential care facilities,49.8370173,-119.6237769
,Nursing and residential care facilities,50.2318418,-119.2547159
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,48.68585,-123.41694
,Nursing and residential care facilities,49.1663494,-122.6609691
,Nursing and residential care facilities,49.1015673,-122.6573035
extended care,Hospitals,49.0952999,-122.612079
,Nursing and residential care facilities,49.1570209,-123.1606944
,Nursing and residential care facilities,49.7086633,-124.9362404
,Ambulatory health care services,48.445104,-123.334011
,Nursing and residential care facilities,49.277786,-122.7851203
,Nursing and residential care facilities,49.2660077,-122.7510197
,Nursing and residential care facilities,49.2078235,-122.9191564
,Nursing and residential care facilities,49.1784188,-122.8417804
,Nursing and residential care facilities,49.2121813,-123.068935
,Nursing and residential care facilities,53.938608,-122.81031
general,Hospitals,50.690014,-121.9387906
,Nursing and residential care facilities,48.4911471,-123.3952548
general,Hospitals,49.3218642,-123.0683701
general,Hospitals,53.211841,-114.969193
,Nursing and residential care facilities,53.897987,-122.79234
,Nursing and residential care facilities,49.298621,-124.33023
,Nursing and residential care facilities,49.2376636,-123.0998532
long term care,Nursing and residential care facilities,,
,Ambulatory health care services,49.148846,-123.136661
,Ambulatory health care services,49.327193,-123.071945
,Nursing and residential care facilities,49.3445873,-123.1065884
,Nursing and residential care facilities,49.23448,-123.129
,Ambulatory health care services,49.285409,-123.12195
,Nursing and residential care facilities,48.477997,-123.373936
